subprog,AreaCode,AreaName,InstCode,StationCode,YearMonth,DayNumber,SamplingLevel,species,SpatialPool,parncc,ParamName,value,unit,StatusFlag,DataQualityFlag,SamplingLevel2
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR MON,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR MON,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR MON,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,50,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR SCP,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,28,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR SCP,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,31,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR SCP,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,100,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,LOPH BID,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,LOPH BID,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,LOPH BID,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,13,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,MAJA BIF,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,MAJA BIF,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,50,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,MAJA BIF,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,6,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DESC FLE,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DESC FLE,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,100,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DESC FLE,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,6,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR DEN,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR DEN,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,7,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR DEN,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,44,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR FUS,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR FUS,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DICR FUS,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,6,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DRYO DIL,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,3,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DRYO DIL,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,63,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,DRYO DIL,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,50,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,FAGU SYL,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,FAGU SYL,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,FAGU SYL,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,25,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,HYPN CUP,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,HYPN CUP,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,72,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,HYPN CUP,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,56,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,LEPI REP,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,LEPI REP,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,LEPI REP,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,31,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,OXAL ACE,16,COVE    ,RELATIVE COVERAGE OF SPECIES  ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,OXAL ACE,16,FERT    ,RELATIVE FERTILITY OF SPECIES ,0,%         ,P ,  ,    
VG,DE01,FORELLENBACH                  ,GR,51,199008,NULL,    ,OXAL ACE,16,FREQ    ,RELATIVE FREQUENCY INDIV.PLOTS,13,%         ,P ,  ,    
